event_type,count,day,ratio
view,56435853,7,100.0
cart,2930652,7,5.192890413120893
purchase,980182,7,1.7368072739150413
view,55320186,6,100.0
cart,3038973,6,5.493425130566264
purchase,942724,6,1.7041229760145782
view,53474149,5,100.0
cart,2491246,5,4.658785687267319
purchase,956283,5,1.7883089640192311
view,53975675,4,100.0
cart,2519734,4,4.668276959945382
purchase,963658,4,1.7853560886454871
view,53900850,3,100.0
cart,2543171,3,4.7182391372306745
purchase,936772,3,1.7379540396858306
view,54502591,2,100.0
cart,2711069,2,4.974202052155649
purchase,1013977,2,1.8604198101334302
view,58137545,1,100.0
cart,2879218,1,4.952424461679626
purchase,1055228,1,1.8150542820478572
