,MONTH,diff_month,RFM_Group,user_cnt
0,3,0,일시적 고객,58195
1,11,0,,1912415
2,11,0,일시적 고객,165878
3,3,0,신규 고객,25475
4,11,0,충성고객,22558
5,10,0,이탈 우려 고객,227694
6,1,0,,1973131
7,12,0,일시적 고객,119085
8,11,0,이탈 우려 고객,105219
9,10,0,VIP,36022
10,3,0,잠재적 고가치 고객,4104
11,11,0,VIP,14411
12,3,0,이탈 우려 고객,27690
13,4,0,신규 고객,103990
14,2,0,신규 고객,12925
15,12,0,이탈 고객,7748
16,3,0,VIP,9367
17,1,0,충성고객,12832
18,4,0,VIP,8901
19,12,0,잠재적 고가치 고객,3244
20,2,0,일시적 고객,54181
21,5,0,충성고객,122
22,1,0,신규 고객,12795
23,2,0,VIP,8220
24,12,0,이탈 우려 고객,93740
25,11,0,잠재적 고가치 고객,4582
26,4,0,,1938721
27,12,0,,2268656
28,4,0,잠재적 고가치 고객,7995
29,10,0,,2229460
30,12,0,충성고객,16096
31,1,0,잠재적 고가치 고객,2561
32,2,0,이탈 우려 고객,65115
33,10,0,신규 고객,29607
34,11,0,이탈 고객,50546
35,10,0,충성고객,47458
36,10,0,잠재적 고가치 고객,9725
37,12,0,VIP,10391
38,3,0,,1546971
39,12,0,신규 고객,15132
40,4,0,충성고객,40635
41,2,0,잠재적 고가치 고객,2608
42,2,0,,1685552
43,2,0,충성고객,12731
44,10,0,일시적 고객,289216
45,1,0,이탈 우려 고객,66257
46,1,0,VIP,8268
47,5,0,신규 고객,629
48,1,0,일시적 고객,76311
49,11,0,신규 고객,19199
50,10,0,이탈 고객,134439
51,3,0,충성고객,20971
52,5,0,,19998
53,5,0,VIP,8
54,5,0,잠재적 고가치 고객,23
55,10,1,일시적 고객,171944
56,10,1,이탈 우려 고객,191695
57,10,1,잠재적 고가치 고객,7582
58,2,1,VIP,7560
59,3,1,신규 고객,12580
60,2,1,충성고객,10691
61,3,1,잠재적 고가치 고객,2935
62,3,1,이탈 우려 고객,5235
63,12,1,잠재적 고가치 고객,1992
64,10,1,VIP,30966
65,12,1,일시적 고객,41685
66,10,1,충성고객,37136
67,10,1,신규 고객,19372
68,1,1,잠재적 고가치 고객,1694
69,12,1,,421325
70,3,1,VIP,6075
71,3,1,,172185
72,4,1,VIP,15
73,10,1,,733365
74,11,1,이탈 고객,14682
75,1,1,신규 고객,6179
76,3,1,일시적 고객,10108
77,11,1,잠재적 고가치 고객,3009
78,11,1,VIP,11322
79,12,1,충성고객,9854
80,3,1,충성고객,12026
81,2,1,일시적 고객,15817
82,4,1,,229
83,2,1,신규 고객,9727
84,1,1,,333232
85,2,1,,217566
86,1,1,이탈 우려 고객,33682
87,11,1,이탈 우려 고객,84402
88,11,1,충성고객,14859
89,11,1,일시적 고객,76617
90,2,1,이탈 우려 고객,19776
91,2,1,잠재적 고가치 고객,2163
92,4,1,충성고객,51
93,12,1,신규 고객,7286
94,1,1,일시적 고객,24867
95,1,1,VIP,6747
96,11,1,,506734
97,12,1,이탈 우려 고객,55241
98,1,1,충성고객,8125
99,12,1,VIP,8218
100,11,1,신규 고객,10399
101,10,1,이탈 고객,82185
102,12,1,이탈 고객,1127
103,4,1,잠재적 고가치 고객,9
104,4,1,신규 고객,49
105,12,2,이탈 우려 고객,43884
106,10,2,신규 고객,19000
107,10,2,VIP,30838
108,12,2,,345392
109,1,2,일시적 고객,17433
110,12,2,신규 고객,6968
111,11,2,이탈 우려 고객,73210
112,12,2,이탈 고객,857
113,2,2,잠재적 고가치 고객,2150
114,11,2,VIP,11116
115,2,2,신규 고객,9263
116,10,2,이탈 우려 고객,197054
117,10,2,일시적 고객,148925
118,10,2,잠재적 고가치 고객,7430
119,11,2,,389932
120,11,2,잠재적 고가치 고객,2826
121,1,2,잠재적 고가치 고객,2134
122,12,2,VIP,8288
123,10,2,충성고객,36631
124,1,2,이탈 우려 고객,20026
125,1,2,신규 고객,9709
126,2,2,충성고객,9102
127,1,2,VIP,7623
128,12,2,일시적 고객,34783
129,11,2,신규 고객,9492
130,2,2,이탈 우려 고객,9896
131,2,2,,146860
132,3,2,,181
133,2,2,일시적 고객,8333
134,2,2,VIP,5842
135,11,2,충성고객,13977
136,12,2,잠재적 고가치 고객,2022
137,11,2,이탈 고객,9672
138,10,2,,654740
139,11,2,일시적 고객,60210
140,12,2,충성고객,9718
141,1,2,충성고객,10865
142,1,2,,217694
143,10,2,이탈 고객,47296
144,3,2,이탈 우려 고객,7
145,3,2,일시적 고객,10
146,3,2,충성고객,11
147,3,2,VIP,9
148,3,2,잠재적 고가치 고객,6
149,3,2,신규 고객,16
150,12,3,,244237
151,2,3,신규 고객,18
152,1,3,일시적 고객,9867
153,10,3,,528520
154,10,3,VIP,30458
155,10,3,이탈 고객,33981
156,1,3,충성고객,8735
157,1,3,,146452
158,10,3,이탈 우려 고객,176706
159,11,3,,339195
160,12,3,이탈 우려 고객,28555
161,1,3,VIP,5592
162,10,3,충성고객,35325
163,12,3,일시적 고객,25880
164,11,3,이탈 고객,7850
165,10,3,일시적 고객,122954
166,1,3,잠재적 고가치 고객,1935
167,2,3,충성고객,24
168,12,3,VIP,9515
169,11,3,일시적 고객,52907
170,11,3,신규 고객,9416
171,11,3,VIP,11172
172,1,3,신규 고객,8632
173,11,3,잠재적 고가치 고객,2910
174,12,3,신규 고객,11542
175,2,3,,207
176,10,3,잠재적 고가치 고객,7189
177,12,3,잠재적 고가치 고객,2663
178,11,3,충성고객,14137
179,10,3,신규 고객,17701
180,1,3,이탈 우려 고객,10033
181,12,3,충성고객,13504
182,12,3,이탈 고객,635
183,11,3,이탈 우려 고객,63444
184,2,3,이탈 우려 고객,24
185,2,3,일시적 고객,15
186,2,3,VIP,22
187,2,3,잠재적 고가치 고객,4
188,12,4,,153852
189,12,4,신규 고객,9890
190,10,4,일시적 고객,108300
191,12,4,이탈 고객,559
192,11,4,신규 고객,14089
193,11,4,VIP,12915
194,11,4,충성고객,18439
195,12,4,VIP,6994
196,11,4,이탈 고객,6268
197,12,4,충성고객,10984
198,10,4,VIP,30498
199,1,4,,166
200,10,4,신규 고객,17617
201,10,4,충성고객,35213
202,11,4,잠재적 고가치 고객,3667
203,11,4,이탈 우려 고객,43870
204,10,4,이탈 우려 고객,155908
205,10,4,,470228
206,11,4,,258916
207,11,4,일시적 고객,41081
208,12,4,일시적 고객,15067
209,12,4,잠재적 고가치 고객,2452
210,10,4,잠재적 고가치 고객,7170
211,12,4,이탈 우려 고객,15113
212,10,4,이탈 고객,28337
213,1,4,일시적 고객,15
214,1,4,잠재적 고가치 고객,4
215,1,4,이탈 우려 고객,15
216,1,4,충성고객,21
217,1,4,VIP,11
218,1,4,신규 고객,13
219,10,5,이탈 우려 고객,119330
220,10,5,잠재적 고가치 고객,8289
221,10,5,VIP,33226
222,10,5,충성고객,41410
223,10,5,신규 고객,23461
224,11,5,충성고객,17219
225,12,5,신규 고객,18
226,10,5,이탈 고객,23436
227,10,5,,381811
228,11,5,일시적 고객,27817
229,10,5,일시적 고객,89510
230,11,5,,186665
231,11,5,이탈 우려 고객,26090
232,11,5,신규 고객,14193
233,11,5,VIP,10720
234,12,5,VIP,26
235,12,5,,180
236,11,5,이탈 고객,4825
237,11,5,잠재적 고가치 고객,3826
238,12,5,이탈 우려 고객,30
239,12,5,충성고객,24
240,12,5,잠재적 고가치 고객,9
241,12,5,일시적 고객,23
242,12,5,이탈 고객,3
243,10,6,이탈 우려 고객,80221
244,10,6,신규 고객,22861
245,10,6,일시적 고객,65612
246,11,6,,264
247,10,6,,282085
248,10,6,VIP,29434
249,10,6,충성고객,38764
250,10,6,잠재적 고가치 고객,8484
251,10,6,이탈 고객,18599
252,11,6,이탈 우려 고객,56
253,11,6,신규 고객,23
254,11,6,충성고객,42
255,11,6,일시적 고객,44
256,11,6,VIP,23
257,11,6,이탈 고객,6
258,11,6,잠재적 고가치 고객,13
259,10,7,,742
260,10,7,충성고객,320
261,10,7,신규 고객,89
262,10,7,VIP,278
263,10,7,일시적 고객,275
264,10,7,이탈 우려 고객,498
265,10,7,이탈 고객,106
266,10,7,잠재적 고가치 고객,70
