event_type,CNT,category_code
view,276453,medicine
cart,8253,medicine
purchase,2583,medicine
view,18733089,computers
cart,563837,computers
purchase,202396,computers
view,4645771,auto
cart,145094,auto
purchase,54205,auto
view,172368,stationery
cart,6960,stationery
purchase,1872,stationery
view,16145807,sport
cart,989574,sport
purchase,316243,sport
view,41137209,apparel
cart,1490365,apparel
purchase,455370,apparel
view,63417883,appliances
cart,2746239,appliances
purchase,925763,appliances
view,841274,country_yard
cart,40206,country_yard
purchase,10849,country_yard
view,17652355,furniture
cart,638785,furniture
purchase,197485,furniture
view,4806168,accessories
cart,127041,accessories
purchase,36854,accessories
view,9128630,kids
cart,303934,kids
purchase,93757,kids
view,69201207,electronics
cart,3454692,electronics
purchase,1341139,electronics
view,77482657,construction
cart,6301358,construction
purchase,2442248,construction
